Letter ID,Title,Date,Creator,Top Terms (comma-separated)
70,"Evelyn Holm to John Holm 1934.1.8",1934.01.08,"Evelyn Holm","arvid(0.067), fremdeles(0.047), driver(0.042), går(0.042), 8-1-34(0.042), skidager(0.042), uerfaren(0.042), eletriske(0.042), kokeplater(0.042), magasinene(0.042)"
71,"Klara Krogstad to Alma C. Wilson 1934.1.21",1934.01.21,"Klara Krogstad","forstaar(0.066), alfred(0.060), het(0.057), tænkt(0.051), engelsk(0.038), mangle(0.038), begivenhet(0.038), kubbe(0.038), sofie(0.038), blaaser(0.038)"
72,"Berith Holm to John Holm and Alma C. Wilson 1934.2.12",1934.02.12,"Berith Holm","stjerne(0.069), avisene(0.055), finder(0.055), set(0.051), havet(0.043), vad(0.036), 2-1934(0.034), tusende(0.034), prektig(0.034), brodkniven(0.034)"
73,"Laura Karlson to Alma C. Wilson 1935.1.8",1935.01.08,"Laura Karlson","luen(0.074), jemt(0.057), ansigtet(0.057), vever(0.057), fabrikken(0.057), serka(0.057), brystet(0.040), kr(0.033), anden(0.031), fodd(0.028)"
74,"Evelyn Holm to Grace Vilson 1935.3.3",1935.03.03,"Evelyn Holm","gymnasie(0.101), college-eksamen(0.075), folkeskolen(0.066), engelsk(0.064), kaller(0.051), artium(0.050), går(0.046), tre(0.040), gått(0.032), tar(0.031)"
75,"Karla Krogstad to Alma C. Wilson 1935.4.14",1935.04.14,"Klara Korgstad","naar(0.037), klar(0.037), halvt(0.033), 14-4(0.027), malt(0.027), tapetsert(0.027), spisestumøbler(0.027), plagdes(0.027), konsert(0.027), 400(0.027)"
76,"Klara Krogstad to Alma C. Wilson 1937.12.31",1937.12.31,"Klara Krogstad","sangen(0.053), radio(0.048), vasker(0.044), kirken(0.044), faat(0.044), 31-12-37(0.036), minnegudstjeneste(0.036), vækkes(0.036), prøv(0.036), søkt(0.036)"
77,"Klara Krogstad to Alma C. Wilson 1938.10.29",1938.10.29,"Klara Krogstad","snakket(0.060), døtre(0.057), 29-10-38(0.046), gerds(0.046), sauser(0.046), vri(0.046), kluten(0.046), endskjønt(0.046), langreise(0.046), fiffer(0.046)"
78,"Ola Holm to John Holm 1938.12.12",1938.12.12,"Ola Holm","haaper(0.041), spøg(0.039), bibel(0.032), af(0.031), tr(0.030), bedste(0.029), engelske(0.028), heim(0.027), ventet(0.025), nemlig(0.024)"
79,"Axel Holm to Alma C. Wilson 1940.3.31",1940.03.31,"Axel Holm","bibelens(0.045), forretningen(0.034), pige(0.034), tiderne(0.034), os(0.033), verre(0.032), glæder(0.030), blod(0.029), bibelen(0.027), trodde(0.023)"
80,"Effie Holm to John Holm 1941.2.28",1941.02.28,"Olav Holm","husk(0.043), våren(0.036), sonja(0.034), 2-41(0.032), olas(0.032), kolonialforretninger(0.032), næst(0.032), skøytesporten(0.032), nyhetene(0.032), begivenheter(0.032)"
81,"Odd Conrad Holm to John Holm 1941.3.9",1941.03.09,"Odd Conrad Holm","conrad(0.099), casalanca(0.065), 9-3-1941(0.065), adledningen(0.065), 1936(0.065), åveralt(0.065), adresser(0.065), dresse(0.065), ringul(0.065), odd(0.062)"
82,"Odd Conrad Holm to John Holm 1941.5.5",1941.05.05,"Odd Conrad Holm","staterne(0.066), viss(0.057), conrad(0.050), afrika(0.049), sønn(0.040), kansje(0.035), år(0.035), onkel(0.033), safi(0.033), hyggeli(0.033)"
83,"Odd Conrad Holm to Grace Wilson 1941.5.28",1941.05.28,"Odd Conrad Holm","ditt(0.065), bilede(0.063), elste(0.037), norsk(0.037), brødre(0.034), anna(0.032), 28-mai(0.032), åveraskelse(0.032), derpå(0.032), åversette(0.032)"
87,"Ola Holm to John Holm 1945.7.8",1945.07.08,"Ola Holm","original(1.096), english(1.061), in(0.973)"
88,"Axel Holm to John Holm 1945.7.29",1945.06.29,"Axel Holm","sverge(0.065), falstad(0.049), august(0.044), aristeret(0.035), 1943(0.035), gestapo(0.035), 44(0.032), tuberkolose(0.032), tyske(0.029), verste(0.029)"
89,"Klara Krogstad to Alma C. Wilson 1945.7.23",1945.07.23,"Klara Korgstad","jubel(0.041), knut-ros(0.041), engelskmann(0.041), været(0.035), slekten(0.032), sangen(0.030), mary(0.026), aars(0.026), sang(0.024), nettop(0.024)"
91,"Odd Conrad Holm to Grace Wilson 1945.7.10",1945.07.10,"Odd Conrad Holm","original(1.096), english(1.061), in(0.973)"
92,"Ola Holm to John Holm 1945.8.13",1945.08.13,"Ola Holm","as(0.053), damer(0.050), nævnte(0.047), pakker(0.046), slægt(0.036), fået(0.036), håper(0.035), spent(0.032), 13-8-45(0.027), intresante(0.027)"
94,"Ola Holm to John Holm 1945.9.1",1945.09.01,"Ola Holm","intresse(0.056), unge(0.054), begynder(0.043), 1-1945(0.040), lønnet(0.040), gjerninger(0.040), dagsarbeide(0.040), bortskjæmt(0.040), fjollet(0.040), folish(0.040)"
95,"Berith Holm and Ola Holm to John Holm 1945.9.1",1945.09.01,"Berith Holm","jakken(0.073), friske(0.050), amerikanske(0.045), slipper(0.044), 9-45(0.037), kriger(0.037), vacation(0.037), bjørneskin(0.037), hænderne(0.037), såpen(0.037)"
96,"Laura Karlson to John Holm 1945.9.10",1945.09.10,"Laura Karlson","jem(0.068), hunn(0.051), veret(0.049), havt(0.046), blive(0.040), slegt(0.036), sønner(0.033), 9-1945(0.032), jennemlevet(0.032), vand(0.032)"
97,"Evelyn Holm to Grace Wilson 1945.9.28",1945.09.28,"Evelyn Holm","heldige(0.053), hverken(0.047), jo(0.038), år(0.035), fått(0.035), 28-9-45(0.033), små-barn(0.033), andeledes(0.033), forlovelsen(0.033), plauritt(0.033)"
98,"Ola Holm to John Holm 1945.10.8",1945.10.08,"Ola Holm","8-10-45(0.046), overall(0.046), særskilt(0.046), fotos(0.046), nævner(0.046), voxne(0.046), slænge(0.046), søskenbarn(0.046), holm-brødrene(0.046), øiens(0.046)"
99,"Klara Krogstad to Alma C. Wilson 1945.10.29",1945.10.29,"Klara Krogstad","klæder(0.052), mary(0.038), været(0.038), faat(0.037), november(0.033), baade(0.032), onkel(0.030), uvel(0.029), medisin(0.029), overgangs(0.029)"
100,"Laura Karlsson to Alma C. Wilson 1945.10.10",1945.10.10,"Laura Karlsson","havt(0.042), havde(0.042), kann(0.035), kaapen(0.033), sager(0.029), melk(0.029), an(0.025), vere(0.024), mindor(0.024), moro(0.023)"
102,"Axel Holm to Alma C. Wilson 1945.10.25",1945.10.25,"Axel Holm","militære(0.056), varm(0.044), di(0.042), 25-10-45(0.038), 250(0.038), trodser(0.038), drager(0.038), engelsmennerne(0.038), periode(0.038), myndigheder(0.038)"
103,"Edvard Eidum to John Holm 1945.11.23",1945.11.23,"Edvard Eidum","beskudt(0.038), gud(0.038), sænket(0.033), brand(0.033), brak(0.030), iver(0.030), slag(0.027), byen(0.027), sje(0.026), that(0.026)"
104,"Notes on the Stamps During World War II 2000",2000,"Siri Lawson","frimerker(0.088), 1940(0.078), -(0.074), portrett(0.073), motiv(0.073), løvemerke(0.073), overtrykt(0.073), 1942(0.073), 1941(0.058), merker(0.052)"
105,"Information on Stamps and Wartime Censorship 2000",2000,"John Torstad","sensurert(0.118), -(0.069), post(0.061), sensur(0.059), påsatt(0.059), sensuren(0.059), berlin(0.059), bermuda(0.059), øren(0.059), usa(0.047)"
106,"Siri Lawson Cover Letter 2000",2000.11,"Siri Lawson","original(1.096), english(1.061), in(0.973)"
108,"Edvard Eidum to John Holm 1946.1.13",1946.01.13,"Edvard Eidum","gud(0.038), bror(0.028), hanna(0.028), ber(0.027), hjerte(0.027), leve(0.026), hustru(0.025), undres(0.024), nære(0.023), vare(0.023)"
109,"Herborg Holm to Alma C. Wilson 1946.1.17",1946.01.17,"Herborg Holm","arild(0.031), eilif(0.024), jo(0.024), vold(0.021), far(0.020), sepe(0.019), altså(0.017), arne(0.017), fin(0.016), år(0.016)"
110,"Olava Holm to Alma C. Wilson 1946.2.3",1946.02.03,"Olava Holm","ammerika(0.073), madt(0.073), nork(0.073), rigtig(0.069), met(0.058), odd(0.052), snakke(0.047), johan(0.040), jertelig(0.037), frigtelig(0.037)"
111,"Edvard Eidum to Alma C. Wilson 1946.2.4",1946.02.04,"Edvard Eidum","jernbanen(0.044), tilhører(0.041), farmer(0.041), fyrbøter(0.036), baltzer(0.033), forandring(0.031), smed(0.031), di(0.028), fått(0.021), 3de(0.021)"
112,"Edvard Eidum to John Holm 1946.2.6",1946.02.06,"Edvard Eidum","gud(0.026), syd(0.023), narvik(0.021), vert(0.020), di(0.020), undres(0.020), dakota(0.020), kjeledressen(0.018), billedhefte(0.018), barns(0.018)"
113,"Jorun Holm to John Holm 1946.2.12",1946.02.12,"Jorun Holm","odd(0.063), jo(0.044), telegrafist(0.038), sandefjord(0.038), mor(0.034), gikk(0.033), datteren(0.028), markus(0.028), karoline(0.024), aldri(0.020)"
114,"Edvard Eidum to John Holm 1946.2.15",1946.02.15,"Edvard Eidum","fatt(0.050), 26de(0.042), di(0.037), finde(0.029), desember(0.028), gjerne(0.025), sendt(0.024), hustru(0.024), gud(0.024), hvorledes(0.023)"
115,"Laura Karlson to Alma C. Wilson 1946.2.15",1946.02.15,"Laura Karlson","jemme(0.053), aksels(0.048), sagde(0.043), mindor(0.042), sønn(0.035), jem(0.030), skogn(0.030), vere(0.028), døtre(0.026), ung(0.025)"
116,"Axel Holm to John Holm 1946.2.19",1946.02.19,"Axel Holm","hegre(0.035), rom(0.034), inholdt(0.029), sålet(0.029), jakketen(0.029), spist(0.029), besøket(0.029), unnersøkelse(0.029), fryker(0.029), hjensynet(0.029)"
117,"Klara Krogstad to John Holm 1946.2.24",1946.02.24,"Klara Krogstad","ma(0.065), faar(0.052), sluttet(0.052), gaar(0.048), skolen(0.041), nerver(0.041), bristepunktet(0.041), sirenene(0.041), kjælleren(0.041), mekanikerkurset(0.041)"
118,"Laura Karlson to John Holm 1946.3.24",1946.03.24,"Laura Karlson","faatt(0.050), blive(0.046), helga(0.039), 3-46(0.037), udvei(0.037), usigelige(0.037), besøgte(0.037), jelpe(0.037), telegram(0.037), jemm(0.037)"
119,"Herborg Holm to John Holm 1946.3.28",1946.03.28,"Herborg Holm","-(0.049), gl(0.033), eilif(0.026), 180(0.024), arne(0.023), jo(0.022), sykler(0.022), igår(0.021), sendt(0.021), far(0.019)"
120,"Ola Holm to John Holm 1946.5.11",1946.05.11,"Ola Holm","nr(0.033), sende(0.031), lavsko(0.030), one(0.030), which(0.030), then(0.030), quinine(0.030), out(0.030), ee(0.030), kanten(0.030)"
